AdSense Earnings Month,Channel ID,Revenue Source,Local Currency,Total Revenue By Source,US Sourced Revenue,Tax Withholding Rate,Tax Withheld Amount
202301,UClgoRWJQTMf-cnnhnJTNu8Q,Ads Revenue,HKD,1036.868225,16.261599,15.00,2.43924
202301,UClgoRWJQTMf-cnnhnJTNu8Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,1.067968,0.470237,15.00,0.070536
202301,UClgqmwnI_URSNbsrGHVNpWw,Ads Revenue,HKD,1.688257,0,15.00,0
202301,UClhYvjdTISieAQC5IJFYJHg,Ads Revenue,HKD,113.228285,0.739965,24.00,27.174788
202301,UClhYvjdTISieAQC5IJFYJHg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.079499,0.006112,24.00,0.01908
202301,UCluTtyI9q_XgTNSI2H-NB2Q,Ads Revenue,HKD,309.712462,6.106156,15.00,0.915923
202301,UCluTtyI9q_XgTNSI2H-NB2Q,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.357985,0.05241,15.00,0.007862
202301,UCm12bK2SynO1fMNNdfytgEw,Ads Revenue,HKD,885.949177,43.93513,15.00,6.59027
202301,UCm12bK2SynO1fMNNdfytgEw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.914699,0.497215,15.00,0.074582
202301,UCm2yMZgoiIrKKyIbWeUtnew,Ads Revenue,HKD,627.103281,9.89024,15.00,1.483536
202301,UCm2yMZgoiIrKKyIbWeUtnew,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.486978,0.031162,15.00,0.004674
